,,,,,,A2A,A2B,A2C,A3B,A4,A5,B2,B3,B4,B5,B6,B7,B8,C2A,C2A.1,C2A.2,C2A.3,C2A.4,C2B,C2C,C3A,C3B,C3C,D2,D3
Reporting Year,StateName,LEAName,New/Closed LEA/ESA,NCESID,Year used to make the LEA/ESA/SEA determinations,Total LEA/ESA allocation for Section 611 of IDEA FFY 2020 ($),Total LEA/ESA allocation for Section 611 of IDEA FFY 2021 ($),Increase in LEA/ESA allocations for Section 611 from FFY 2020 to FFY 2021 ($),Total LEA/ESA allocation for Section 619 of IDEA FFY 2021 ($),Total LEA/ESA allocations for Section 611 and 619 of IDEA for FFY 2021 ($),15% of the total LEA/ESA allocations for Section 611 and 619 of IDEA for FFY 2021 ($),Determination under 34 CFR 300.600(a)(2) that controls whether the LEA may be able to reduce MOE during SY 2021-22,Reduction of local and/or state funds taken pursuant to Section 613(a)(2)(C) by the LEA/ESA during SY 2021-22 ($),Percent of the available reduction taken by LEA /ESA during SY 2021-22 (%),Did the State determine whether the LEA/ESA met the MOE compliance standard in FFY 2021/SY 2021-22? (Y/N),Did the LEA/ESA meet the MOE compliance standard in FFY 2021/SY 2021-22? (Y/N),"By the date of this data submission, did the State return non-Federal funds to the Department based on the failure of the LEA/ESA to meet the MOE compliance standard in FFY 2021/SY 2021-22? (Y/N)",What amount of non-Federal funds did the State return to the Department based on the failure of the LEA/ESA to meet the MOE compliance standard in FFY 2021/SY 2021-22? ($),Required CEIS Was the LEA/ESA required to use 15% of funds for CEIS due to significant disproportionality in SY 2021-22? (Y/N),Required CEIS Was the LEA/ESA identified as having significant disproportionality due to 'identification as a child with a disability'? (Y/N),Required CEIS Was the LEA/ESA identified as having significant disproportionality due to 'identification by disability category'? (Y/N),Required CEIS Was the LEA/ESA identified as having significant disproportionality due to 'placement in a particular educational setting'? (Y/N),Required CEIS Was the LEA/ESA identified as having significant disproportionality due to 'disciplinary action'? (Y/N),Required CEIS Amount reserved for required CEIS in the LEA /ESA in SY 2021-22 ($),Required CEIS Percent taken for required CEIS in the LEA /ESA in SY 2021-22 (%),Voluntary CEIS Did the LEA/ESA voluntarily use up to 15% of IDEA 611 and 619 fund for CEIS in SY 2021-22? (Y/N),Voluntary CEIS Amount reserved for voluntary CEIS in SY 2021-22 ($),Voluntary CEIS Percent taken for voluntary CEIS during SY 2021-22 (%),Total number of children receiving CEIS under the IDEA in the LEA/ESA during SY 2021-22,"Total number of children who received CEIS under the IDEA anytime in the past two school years (including SY 2019-20, SY 2020-21 and SY 2021-22) and received special education and related services in SY 2021-22"
2021,Alabama,DeKalb County,,101140,2019-20,2072715,2471844,399129,71678,2543522,381528.3,2,0,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2021,Alabama,Decatur City,,101170,2019-20,2052837,2511093,458256,85626,2596719,389507.85,2,0,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2021,Alabama,Demopolis City,,101200,2019-20,466218,570309,104091,21290,591599,88739.85,1,0,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2021,Alabama,Dothan City,,101230,2019-20,2274799,2614271,339472,145484,2759755,413963.25,2,0,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2021,Alabama,Elba City,,101260,2019-20,193048,232684,39636,8774,241458,36218.7,1,0,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2021,Alabama,Elmore County,,101290,2019-20,2546661,3147200,600539,90039,3237239,485585.85,1,0,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2021,Alabama,Enterprise City,,101320,2019-20,1372741,1677072,304331,43790,1720862,258129.3,1,0,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2021,Alabama,Escambia County,,101350,2019-20,1062020,1295045,233025,42943,1337988,200698.2,2,0,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2021,Alabama,Etowah County,,101380,2019-20,2019474,2441657,422183,73837,2515494,377324.1,1,0,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2021,Alabama,Eufaula City,,101410,2019-20,1156607,1636879,480272,42699,1679578,251936.7,2,0,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2021,Alabama,Fairfield City,,101440,2019-20,432533,519161,86628,15540,534701,80205.15,1,0,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2021,Alabama,Fayette County,,101470,2019-20,565098,672712,107614,26087,698799,104819.85,1,34579.07,64.27,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2021,Alabama,Florence City,,101530,2019-20,1033694,1276249,242555,55876,1332125,199818.75,1,0,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2021,Alabama,Fort Payne City,,101560,2019-20,728982,926152,197170,29567,955719,143357.85,1,0,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2021,Alabama,Franklin County,,101590,2019-20,773780,948020,174240,28387,976407,146461.05,1,0,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2021,Alabama,Gadsden City,,101620,2019-20,1301410,1534370,232960,86127,1620497,243074.55,1,0,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2021,Alabama,Geneva City,,101640,2019-20,308967,371126,62159,21573,392699,58904.85,1,0,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2021,Alabama,Geneva County,,101660,2019-20,631073,756945,125872,18668,775613,116341.95,1,29757.48,47.28,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2021,Alabama,Greene County,,101680,2019-20,295394,338654,43260,45319,383973,57595.95,2,0,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2021,Alabama,Guntersville City,,101690,2019-20,398715,484737,86022,15718,500455,75068.25,1,0,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2021,Alabama,Hale County,,101710,2019-20,654471,776616,122145,52968,829584,124437.6,2,0,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2021,Alabama,Haleyville City,,101720,2019-20,382188,466327,84139,22241,488568,73285.2,2,0,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2021,Alabama,Hartselle City,,101730,2019-20,732308,912028,179720,28791,940819,141122.85,1,0,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2021,Alabama,Henry County,,101740,2019-20,606858,726553,119695,30554,757107,113566.05,2,0,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2021,Alabama,Homewood City,,101760,2019-20,820186,1018411,198225,27299,1045710,156856.5,1,0,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2021,Alabama,Houston County,,101770,2019-20,1533207,1832696,299489,66592,1899288,284893.2,1,0,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2021,Alabama,Huntsville City,,101800,2019-20,5550180,6731205,1181025,201717,6932922,1039938.3,2,0,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2021,Alabama,Jackson County,,101830,2019-20,1211387,1469871,258484,48196,1518067,227710.05,1,0,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2021,Alabama,Jacksonville City,,101860,2019-20,384933,475205,90272,15161,490366,73554.9,1,0,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2021,Alabama,Jasper City,,101890,2019-20,628581,740865,112284,28588,769453,115417.95,2,0,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2021,Alabama,Jefferson County,,101920,2019-20,9223219,10942007,1718788,312681,11254688,1688203.2,1,0,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2021,Alabama,Lamar County,,101950,2019-20,548350,660371,112021,34803,695174,104276.1,1,0,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2021,Alabama,Lanett City,,101980,2019-20,268824,327675,58851,15900,343575,51536.25,2,0,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
